round,seed,epsilon_level,mode,val_ihm_auroc,val_ihm_auprc,val_decomp_auroc,val_decomp_auprc,val_pheno_macro_auroc,epsilon_ihm,epsilon_decomp,epsilon_pheno,train_loss,ihm_loss,decomp_loss,pheno_loss,elapsed_s,grad_sim_ihm_decomp,grad_sim_ihm_pheno,grad_sim_decomp_pheno,sigma_decomp,sigma_ihm,sigma_pheno
47,42,5.0,uniform,0.7740881707101706,0.4329330997064586,0.5422482439585681,0.11566666610682623,0.5696959256968455,3.328080926226749,3.328080926226749,3.328080926226749,0.7041714666451949,0.3400018525566076,1.3457618704529308,0.4448796847761979,6.1,,,,1.1580421924591064,0.5830622911453247,0.6666157841682434
48,42,5.0,uniform,0.7731864210242211,0.43723434530774313,0.5449614729991665,0.12097292876043035,0.5690717745860749,3.36482637823524,3.36482637823524,3.36482637823524,0.7039218871614298,0.3357364746811088,1.3651281537967999,0.44383869850479357,6.2,,,,1.1646076440811157,0.5819814205169678,0.663970410823822
49,42,5.0,uniform,0.7743993055902649,0.4300703145919603,0.582367098079664,0.1416057964976287,0.5664140878042478,3.4012109838161075,3.4012109838161075,3.4012109838161075,0.7023293683102038,0.33610217214671806,1.3574134155652409,0.44453731309378514,6.1,,,,1.165052890777588,0.5789167881011963,0.6670997142791748
50,42,5.0,uniform,0.7861953577176445,0.4308234879429333,0.4649978551759447,0.09705640137307517,0.5633964640178082,3.437585297514076,3.437585297514076,3.437585297514076,0.6999418822698719,0.335342227371499,1.3523807905646912,0.4450271408110206,6.1,,,,1.1634773015975952,0.5779350996017456,0.6670823693275452
51,42,5.0,uniform,0.7732355695059495,0.4392822909442352,0.4832102321412795,0.11505361811811043,0.5652803525632341,3.4732943282812485,3.4732943282812485,3.4732943282812485,0.7025128040771818,0.3367798350523653,1.3574360830294514,0.44379448526290827,6.1,3.228905552532524e-05,-0.28854191303253174,3.9314370951615274e-05,1.1630743741989136,0.5789155960083008,0.6668164134025574
52,42,5.0,uniform,0.7783445125303637,0.4417168884401887,0.5598682662902846,0.11908998750904393,0.5724201913298833,3.509003359048421,3.509003359048421,3.509003359048421,0.6988944861566135,0.33732838199909077,1.346362500732122,0.44348224958478105,6.1,,,,1.1591203212738037,0.5810783505439758,0.6648668050765991
53,42,5.0,uniform,0.7799722436032003,0.43018569000388795,0.4748432894682221,0.09776923832909183,0.5704975585923246,3.5444114058310165,3.5444114058310165,3.5444114058310165,0.6994591110658437,0.3362790664991437,1.3544600548702557,0.4427162572806579,6.1,,,,1.161360740661621,0.5798103213310242,0.6658685207366943
54,42,5.0,uniform,0.7826554174955267,0.43797118625128534,0.5065675257671605,0.10465463488048218,0.5722174326059488,3.5794520248550126,3.5794520248550126,3.5794520248550126,0.6988728341837638,0.33567793433062376,1.3532866005293667,0.4433449402646727,6.1,,,,1.164168357849121,0.5809786915779114,0.6654310822486877
55,42,5.0,uniform,0.7722188623542623,0.424919212618824,0.5546711926179734,0.11767409987876461,0.5600549251436702,3.6144926438790077,3.6144926438790077,3.6144926438790077,0.6988336505067401,0.33657340640324174,1.3484254575712713,0.44374993482531416,6.1,,,,1.1613229513168335,0.5808807015419006,0.6665576696395874
56,42,5.0,uniform,0.7806095078154416,0.42680359671483203,0.5374013673652513,0.11105895049756809,0.5673094129889976,3.6490295733241953,3.6490295733241953,3.6490295733241953,0.6988073124115124,0.3351789052439569,1.351670798255887,0.4445186547577121,6.1,0.0004551154561340809,0.08040619641542435,-8.507106394972652e-05,1.16692316532135,0.5793983340263367,0.6663342118263245
57,42,5.0,uniform,0.7740894202478418,0.43705405856686685,0.4628615465511975,0.10004197479172057,0.5719734390871696,3.6834082851958767,3.6834082851958767,3.6834082851958767,0.6964728040986706,0.3353947641807873,1.345810176243428,0.4440499722437046,6.1,,,,1.1646857261657715,0.5808366537094116,0.6673189997673035
58,42,5.0,uniform,0.7878326685792924,0.4400127625559507,0.5272813104395985,0.11064014174324881,0.5701095809011172,3.717786997067558,3.717786997067558,3.717786997067558,0.6958222588337144,0.3353665073495765,1.3481987043239143,0.44274860646526887,6.1,,,,1.1621155738830566,0.5808658003807068,0.6674607992172241
59,42,5.0,uniform,0.7826562505206407,0.4301870502800186,0.6119534291106379,0.14180798825547608,0.5674352015529214,3.7515551640246745,3.7515551640246745,3.7515551640246745,0.6966085963634424,0.33446207863795185,1.3517996062357873,0.44345179004960705,6.1,,,,1.1602609157562256,0.5796948075294495,0.6666069626808167
60,42,5.0,uniform,0.7878709877345382,0.4341878399052808,0.4985890996103127,0.10485490437319055,0.5719476141101779,3.7852779355784065,3.7852779355784065,3.7852779355784065,0.6919378948003444,0.3330940320502202,1.3439874500686946,0.4436682647492688,6.1,,,,1.161940574645996,0.5781528949737549,0.6652917265892029
61,42,5.0,uniform,0.7839082872670445,0.4220069898549355,0.38691295420507926,0.08876114544391225,0.5663730477736528,3.819000707132139,3.819000707132139,3.819000707132139,0.698010456874381,0.3339217444434437,1.3569880687513727,0.44370792122907515,6.1,0.00034223755938000977,0.06088559702038765,0.0005193427787162364,1.1651813983917236,0.5779680013656616,0.6656906604766846
62,42,5.0,uniform,0.7858534009083307,0.4272082212235886,0.6677891068484285,0.20280148557554772,0.568684884223589,3.8521102348708043,3.8521102348708043,3.8521102348708043,0.6980996105868743,0.3357972786416133,1.3498509445565237,0.4436537113252165,6.1,,,,1.1606987714767456,0.5784472823143005,0.6675931811332703
