n_sites,seed,convergence_round,round,train_loss,ihm_loss,los_loss,pheno_loss,elapsed_s,val_ihm_auroc,val_ihm_auprc,val_los_kappa,val_pheno_macro_auroc
2,123,50,36,1.968082156607775,0.35719587914342804,1.6108862801295956,0.775339750739617,51.4,0.5079365079365079,0.03125,0.02696308666457925,nan
2,123,50,37,1.9305787997517159,0.35521517488045423,1.5753636205099462,0.7717061818130617,51.3,0.47619047619047616,0.029411764705882353,0.02696308666457925,nan
2,123,50,38,1.9889139818951367,0.3558052997521269,1.6331086817795668,0.7706265861425943,51.3,0.5079365079365079,0.03125,0.02696308666457925,nan
2,123,50,39,1.941140477250262,0.3616141260154848,1.579526348811824,0.7736023126578913,51.3,0.7301587301587302,0.05555555555555555,0.02696308666457925,nan
2,123,50,40,2.0099146327352138,0.3590389994101796,1.6508756391401214,0.7717894839077462,51.3,0.7142857142857143,0.05263157894736842,0.02696308666457925,nan
2,123,50,41,1.9371554773997486,0.3590003198724452,1.5781551521968067,0.7770438179737185,51.2,0.6507936507936508,0.043478260869565216,0.02696308666457925,nan
2,123,50,42,1.9257073421788409,0.358452223301903,1.5672551189980857,0.7835688319632678,51.2,0.5396825396825398,0.03333333333333333,0.02696308666457925,nan
2,123,50,43,1.9575980397743908,0.355715178740703,1.6018828550974529,0.7787209734684084,51.3,0.5238095238095238,0.03225806451612903,0.02696308666457925,nan
2,123,50,44,1.9271825406609513,0.3577788722951238,1.5694036648525456,0.7812895009188148,51.3,0.6666666666666667,0.045454545454545456,0.02696308666457925,nan
2,123,50,45,1.9170850864270839,0.3537889321645101,1.56329615135503,0.7815740636693753,51.3,0.46031746031746035,0.02857142857142857,0.02696308666457925,nan
2,123,50,46,1.9448537923456208,0.35715398786029195,1.5876998000028657,0.7800417212935967,51.3,0.6031746031746033,0.038461538461538464,0.02696308666457925,nan
2,123,50,47,1.9306540343819596,0.35592572185082166,1.5747283105927754,0.7800059299158856,51.2,0.47619047619047616,0.029411764705882353,0.02696308666457925,nan
