model,seed,round,train_loss,ihm_loss,los_loss,pheno_loss,elapsed_s,val_ihm_auroc,val_ihm_auprc,val_los_kappa,val_pheno_macro_auroc
ST-IHM,123,7,0.3903272798875483,0.3903272798875483,2.5609701125602413,0.6956389367095823,76.5,0.15873015873015872,0.018518518518518517,0.05413855520816191,0.5145904603695384
ST-IHM,123,8,0.38208183549283964,0.38208183549283964,2.5587356730205255,0.6963355332855287,76.5,0.4444444444444444,0.027777777777777776,0.04745745795698386,0.5170147357516498
ST-IHM,123,9,0.38267090165518164,0.38267090165518164,2.596424345078507,0.6993812424380604,76.3,0.09523809523809523,0.017241379310344827,-0.0001169818678103951,0.5211394960892689
ST-IHM,123,10,0.38548732664042373,0.38548732664042373,2.608040243629518,0.7002433669276353,76.2,0.3015873015873016,0.022222222222222223,0.010667045939411146,0.5089166211945099
ST-IHM,7,1,0.4065417945384979,0.4065417945384979,2.3315602744497905,0.7073826208347227,76.2,0.6031746031746033,0.038461538461538464,0.0074282272636017055,0.49895983059202925
ST-IHM,7,2,0.3962510499527784,0.3962510499527784,2.340562998763914,0.7131232125003163,76.1,0.31746031746031744,0.022727272727272728,-0.06895494943303704,0.4488633798675624
ST-IHM,7,3,0.3942333956559499,0.3942333956559499,2.3402516531750437,0.7151163797068402,75.9,0.4444444444444444,0.027777777777777776,0.04732615752605507,0.4801117913127964
ST-IHM,7,4,0.391806591817034,0.391806591817034,2.3412512724961694,0.714679053159264,76.0,0.31746031746031744,0.022727272727272728,-0.08162052988000479,0.4865370334931259
ST-IHM,7,5,0.3862048803063912,0.3862048803063912,2.345973388935492,0.7192922336299244,76.0,0.746031746031746,0.058823529411764705,-0.05699227846549815,0.4894983346956614
ST-IHM,7,6,0.3887556625333259,0.3887556625333259,2.353188285982706,0.7191229840604271,76.0,0.33333333333333337,0.023255813953488372,0.031199445343193855,0.516492985248202
ST-IHM,7,7,0.381826089528518,0.381826089528518,2.3597180668900655,0.7267057386840262,76.1,0.6984126984126984,0.05,-0.11573704243221661,0.45170839838080296
ST-IHM,7,8,0.38447394942849633,0.38447394942849633,2.333965747337031,0.712255814695746,76.1,0.7301587301587302,0.05555555555555555,-0.04066481994459825,0.5072685265000564
ST-IHM,7,9,0.381518020256748,0.381518020256748,2.3389063094689595,0.7165203210784168,76.1,0.7619047619047619,0.0625,-0.05740688882665923,0.4942733519962534
ST-IHM,7,10,0.3790577805139185,0.3790577805139185,2.3396671244768594,0.7211681066489801,76.2,0.4285714285714286,0.02702702702702703,-0.08669674429947571,0.5082916578360896
ST-LOS,42,1,2.0464352873282703,0.8778531604666051,2.0464352873282703,0.7119027502168485,76.0,0.04761904761904767,0.01639344262295082,0.010647705967667731,0.5478725479343721
ST-LOS,42,2,1.8256146491058474,0.9882652589945289,1.8256146491058474,0.742255885426591,76.0,0.19047619047619047,0.019230769230769232,0.010647705967667731,0.5211071730038137
ST-LOS,42,3,1.695500207141163,0.9911478859622304,1.695500207141163,0.7453607902294253,76.1,0.5555555555555556,0.034482758620689655,0.02696308666457925,0.5259089216752725
ST-LOS,42,4,1.6180382317643824,0.995589336728662,1.6180382317643824,0.7332499153245755,75.9,0.6507936507936508,0.043478260869565216,0.02696308666457925,0.5263763091213561
ST-LOS,42,5,1.5983944656403084,1.0155343684723708,1.5983944656403084,0.7391566658407692,76.1,0.4444444444444444,0.027777777777777776,0.02696308666457925,0.5589852578994525
ST-LOS,42,6,1.5946000252312762,1.0192603934101943,1.5946000252312762,0.7431504498652326,75.9,0.46031746031746035,0.02857142857142857,0.02696308666457925,0.5432509579995886
ST-LOS,42,7,1.6011846530728224,1.0245481758582882,1.6011846530728224,0.7451828170598038,75.9,0.5555555555555556,0.034482758620689655,0.02696308666457925,0.5386046416852189
ST-LOS,42,8,1.6176771671791388,1.071474230870968,1.6176771671791388,0.7567942530159059,75.7,0.15873015873015872,0.018518518518518517,0.02696308666457925,0.5280513919069004
ST-LOS,42,9,1.575956447337701,1.119508373543499,1.575956447337701,0.7670519841395742,75.9,0.6825396825396826,0.047619047619047616,0.02696308666457925,0.59016659562854
ST-LOS,42,10,1.6249667095944165,1.115863265060797,1.6249667095944165,0.7714581794855071,75.9,0.3492063492063492,0.023809523809523808,0.02696308666457925,0.5646663257179949
ST-LOS,123,1,2.0745673809594254,0.7396953813428802,2.0745673809594254,0.669452473400085,75.8,0.2698412698412699,0.02127659574468085,0.0,0.5876415124189747
ST-LOS,123,2,1.963035593187906,0.6866881353099171,1.963035593187906,0.6753128805780798,75.8,0.2857142857142857,0.021739130434782608,0.06887929074789723,0.5275477327204662
ST-LOS,123,3,1.8160606942525723,0.6855437818581496,1.8160606942525723,0.6805755093814881,75.9,0.11111111111111116,0.017543859649122806,0.016646765470253566,0.4855730162791417
ST-LOS,123,4,1.8176821974234851,0.7332054488058013,1.8176821974234851,0.6825850998483053,76.0,0.12698412698412698,0.017857142857142856,0.016646765470253566,0.4826481420751123
ST-LOS,123,5,1.7439611122860172,0.8005500736275339,1.7439611122860172,0.687619091534033,75.7,0.09523809523809523,0.017241379310344827,0.016646765470253566,0.516556061152797
ST-LOS,123,6,1.6173596420908363,0.7204599690631153,1.6173596420908363,0.6801845760849433,76.0,0.09523809523809523,0.017241379310344827,0.02696308666457925,0.47699623299398514
ST-LOS,123,7,1.5965808174474452,0.704388783230045,1.5965808174474452,0.6795160474815989,75.6,0.1428571428571429,0.01818181818181818,0.02696308666457925,0.4995219309330109
ST-LOS,123,8,1.753218743859268,0.7199889973896306,1.753218743859268,0.7002572039278542,75.7,0.17460317460317465,0.018867924528301886,0.008447504791651905,0.4442737458121336
ST-LOS,123,9,1.9201416184262532,0.7973426536815923,1.9201416184262532,0.8177590035810703,75.6,0.25396825396825395,0.020833333333333332,0.012262156448202943,0.4245075025463961
ST-LOS,123,10,1.9205837734346467,0.8144482296656786,1.9205837734346467,0.7931347329442094,75.7,0.2857142857142857,0.021739130434782608,0.008447504791651905,0.49061226750595904
ST-LOS,7,1,2.073536148885401,0.6851919865220543,2.073536148885401,0.7167547694066676,75.8,0.04761904761904767,0.01639344262295082,0.0,0.4922115038089077
ST-LOS,7,2,2.0497465657024847,0.6626082750839916,2.0497465657024847,0.7200561296649095,76.0,0.5714285714285714,0.03571428571428571,0.026578750594792977,0.507277176041713
ST-LOS,7,3,2.0382360491326184,0.6003647456324197,2.0382360491326184,0.7162684459027236,75.7,0.9365079365079365,0.2,0.008447504791651905,0.44688354571991873
ST-LOS,7,4,2.0684778244514774,0.609514865933395,2.0684778244514774,0.7093813962083522,75.7,0.746031746031746,0.058823529411764705,0.008447504791651905,0.4823466952392838
ST-LOS,7,5,2.0102568118552853,0.6123742112299291,2.0102568118552853,0.7120243436921903,75.9,0.7936507936507937,0.07142857142857142,0.026636691872743423,0.4856479968751772
ST-LOS,7,6,2.0379357987303073,0.6117696262956634,2.0379357987303073,0.7075146858285113,76.0,0.9365079365079365,0.2,0.008447504791651905,0.5111605051437589
ST-LOS,7,7,2.0574446519215903,0.6261328463631917,2.0574446519215903,0.7111852450099417,75.9,0.9206349206349207,0.16666666666666666,0.008447504791651905,0.5084068409156194
ST-LOS,7,8,1.9930280039950115,0.6508823410282291,1.9930280039950115,0.7293767638322783,76.1,0.5714285714285714,0.03571428571428571,0.02696308666457925,0.4991614282280468
ST-LOS,7,9,2.0579028565709185,0.6536738678691832,2.0579028565709185,0.7152779567532423,76.0,0.9523809523809523,0.25,0.008447504791651905,0.4481344612700318
ST-LOS,7,10,2.063775272873359,0.6588051537188088,2.063775272873359,0.7124779684756829,75.8,0.9523809523809523,0.25,0.008447504791651905,0.4213968587196429
ST-Pheno,42,1,0.4787794790132259,0.8241668779675554,2.3003205574624905,0.4787794790132259,76.1,0.2222222222222222,0.02,-0.20076481835564053,0.6340863547765713
ST-Pheno,42,2,0.4550193092687343,0.8259879878865994,2.488370280924851,0.4550193092687343,76.1,0.3015873015873016,0.022222222222222223,-0.16867469879518082,0.6626848602227348
ST-Pheno,42,3,0.45201722296272834,0.8057477561438956,2.454376400970831,0.45201722296272834,75.9,0.8888888888888888,0.125,-0.03850385038503856,0.660544157202513
ST-Pheno,42,4,0.45130302266376776,0.8964179952939352,2.4556153227643267,0.45130302266376776,76.1,0.873015873015873,0.1111111111111111,0.03252228378703925,0.7049659204655306
ST-Pheno,42,5,0.4500223521779223,0.8380523333704568,2.5093372372107776,0.4500223521779223,75.9,0.5079365079365079,0.03125,-0.06425702811244971,0.6591646492173101
ST-Pheno,42,6,0.45021579251056765,0.818530463106264,2.532711674527424,0.45021579251056765,75.9,0.25396825396825395,0.020833333333333332,-0.014398513701811444,0.6385889682889597
ST-Pheno,42,7,0.4487629116066103,0.7973008882708665,2.5256401290738486,0.4487629116066103,75.9,0.2063492063492064,0.0196078431372549,-0.0679831327779492,0.6434816783662602
ST-Pheno,42,8,0.4491062016506505,0.8074848661577798,2.5502274191476464,0.4491062016506505,75.8,0.33333333333333337,0.023255813953488372,-0.023582053452654517,0.6224682764416455
ST-Pheno,42,9,0.44703153187666483,0.7935193544480859,2.550742296668572,0.44703153187666483,75.9,0.15873015873015872,0.018518518518518517,-0.026769343601026785,0.6830800114424688
ST-Pheno,42,10,0.44737716297793195,0.7658815199766702,2.522825312808277,0.44737716297793195,75.7,0.19047619047619047,0.019230769230769232,-0.008403361344537785,0.6863364147391592
ST-Pheno,123,1,0.47075690147353383,0.8527336668192855,2.734356847235827,0.47075690147353383,75.7,0.09523809523809523,0.017241379310344827,0.0,0.6559498012440409
ST-Pheno,123,2,0.4535313725956087,0.8478296694716787,3.0299319542520413,0.4535313725956087,75.7,0.46031746031746035,0.02857142857142857,0.0,0.6467004624395394
ST-Pheno,123,3,0.4517981557826686,0.8235092700981512,2.967735674323105,0.4517981557826686,75.7,0.2698412698412699,0.02127659574468085,0.0,0.6411318281031534
ST-Pheno,123,4,0.44944038890241605,0.8426995757149487,2.864619821067748,0.44944038890241605,75.8,0.6349206349206349,0.041666666666666664,0.0,0.6079667733851019
ST-Pheno,123,5,0.44990634433622284,0.7975865893247651,2.779562983086439,0.44990634433622284,75.8,0.7301587301587302,0.05555555555555555,0.0,0.6678666121273701
ST-Pheno,123,6,0.4473210948754132,0.7158128405974163,2.796443739557654,0.4473210948754132,75.9,1.0,1.0,0.0,0.6799387862720906
ST-Pheno,123,7,0.44776965302180466,0.6849049572052994,2.785344482437382,0.44776965302180466,75.7,0.7777777777777778,0.06666666666666667,0.0,0.669623711494821
ST-Pheno,123,8,0.4481768142886278,0.697291984790709,2.748890851571308,0.4481768142886278,75.8,0.9365079365079365,0.2,0.0,0.6265846849200956
ST-Pheno,123,9,0.44727602310296966,0.6941356188882657,2.7099862951573317,0.44727602310296966,75.6,0.9047619047619048,0.14285714285714285,0.0,0.6568967744676937
ST-Pheno,123,10,0.4461091836778129,0.7015090560525413,2.656386509174254,0.4461091836778129,75.9,0.9682539682539683,0.3333333333333333,-0.03241153731787105,0.6651582826104225
ST-Pheno,7,1,0.4718711838974216,0.6045784460819834,2.4796646377904628,0.4718711838974216,75.9,0.23809523809523814,0.02040816326530612,0.02529269472665696,0.6142942513181967
ST-Pheno,7,2,0.4545726221266801,0.6037111863857363,2.6534714039748275,0.4545726221266801,75.6,0.873015873015873,0.1111111111111111,0.010925449871465265,0.6564806011294873
ST-Pheno,7,3,0.4539661094909761,0.6268255584608249,2.6574942949341565,0.4539661094909761,75.7,0.8095238095238095,0.07692307692307693,0.02959857196230642,0.5449599418567429
ST-Pheno,7,4,0.4507463823973648,0.6271336800683804,2.699552983772464,0.4507463823973648,75.6,0.6984126984126984,0.05,0.03111054171204064,0.6566283938173482
ST-Pheno,7,5,0.4496175121001112,0.6374578475952148,2.707605305725966,0.4496175121001112,75.8,0.6190476190476191,0.04,0.024795934082858517,0.6215414950369391
ST-Pheno,7,6,0.4480835657294204,0.662083450371657,2.7260779656045804,0.4480835657294204,75.7,0.6190476190476191,0.04,0.0,0.6426646303661361
ST-Pheno,7,7,0.44936607135989803,0.6354773563098132,2.604058494412802,0.44936607135989803,75.8,0.7619047619047619,0.0625,0.0,0.7009481666656877
ST-Pheno,7,8,0.4467605710998783,0.627126487289987,2.620528862728336,0.4467605710998783,75.8,0.6984126984126984,0.05,0.0,0.6638530480938695
ST-Pheno,7,9,0.44837115353685086,0.6138547872140155,2.6325973301399044,0.44837115353685086,75.8,0.7142857142857143,0.05263157894736842,0.0,0.6733016740360721
ST-Pheno,7,10,0.448199998557083,0.6325230041170508,2.6330612674961245,0.448199998557083,75.6,0.6984126984126984,0.05,0.0,0.6544856807422799
