round,seed,epsilon_level,mode,val_ihm_auroc,val_ihm_auprc,val_decomp_auroc,val_decomp_auprc,val_pheno_macro_auroc,train_loss,ihm_loss,decomp_loss,pheno_loss,elapsed_s,sigma_decomp,sigma_ihm,sigma_pheno
3,7,10.0,uniform,0.5855327468230694,0.5482379638602093,0.3970588235294118,0.42601971471552685,0.5015121878891297,1.029218703508377,0.68971286714077,0.6840841174125671,0.6934262663125992,1.1,0.9940047860145569,0.9940170645713806,0.9940232634544373
4,7,10.0,uniform,0.6080156402737048,0.5630314664213796,0.46372549019607845,0.4580737243506394,0.49968211518489036,1.0278030335903168,0.6897649616003036,0.6850821375846863,0.6931751072406769,1.1,0.9920135736465454,0.9920337200164795,0.9920445084571838
5,7,10.0,uniform,0.5953079178885631,0.5854242413963631,0.4607843137254902,0.4538672319784932,0.5072962044924838,1.0259881615638733,0.6898403018712997,0.6852850168943405,0.6928602010011673,1.2,0.9900314807891846,0.990059494972229,0.990074098110199
1,17,10.0,uniform,0.37931034482758624,0.4748770763129532,0.6171875,0.6425693790451035,0.4839609349625731,1.0420796871185303,0.6946976482868195,0.696129098534584,0.6946998834609985,1.0,0.9980028867721558,0.9980021119117737,0.9980021715164185
2,17,10.0,uniform,0.3921182266009852,0.49113681113988206,0.619140625,0.5880607308990905,0.5006680662737213,1.0366778373718262,0.6918999701738358,0.6930945962667465,0.6933930367231369,1.4,0.9960094690322876,0.9960082173347473,0.9960092306137085
3,17,10.0,uniform,0.44729064039408867,0.5279653336211665,0.572265625,0.5461475420787176,0.5106166671700898,1.0348519384860992,0.6921905130147934,0.6934220343828201,0.692746639251709,1.7,0.994022011756897,0.994020938873291,0.9940221905708313
4,17,10.0,uniform,0.46600985221674873,0.5492610268024717,0.55078125,0.525926094670317,0.5080399117325767,1.0328991115093231,0.6920608282089233,0.693444088101387,0.6925351470708847,1.3,0.992042064666748,0.9920411705970764,0.9920423030853271
5,17,10.0,uniform,0.4827586206896552,0.5502697148892597,0.5771484375,0.5396957059079819,0.5065587793997303,1.0307391285896301,0.691690668463707,0.6931809484958649,0.6924049854278564,1.9,0.9900705814361572,0.9900698661804199,0.9900708198547363
1,99,10.0,uniform,0.5310344827586208,0.5824286525130897,0.4314314314314314,0.3910735708370166,0.5086834963378094,1.0421327352523804,0.6950530260801315,0.6970817297697067,0.6934911012649536,1.1,0.9980059266090393,0.9980021715164185,0.9980023503303528
2,99,10.0,uniform,0.5280788177339901,0.5693595853633546,0.4174174174174174,0.35974455601073396,0.5053756644434917,1.0350657999515533,0.6909098029136658,0.6923280358314514,0.6919369697570801,1.1,0.9960145354270935,0.9960076212882996,0.9960094094276428
3,99,10.0,uniform,0.5379310344827586,0.5883459248071762,0.43743743743743746,0.37726881708988913,0.5096090005579695,1.033037543296814,0.6899107992649078,0.6934914737939835,0.6913563013076782,1.1,0.9940280318260193,0.9940190315246582,0.9940222501754761
4,99,10.0,uniform,0.5310344827586208,0.6088426653918075,0.43843843843843844,0.38200135054107165,0.5164913613304283,1.0311139822006226,0.6903245449066162,0.6930626779794693,0.6911251991987228,1.0,0.9920480847358704,0.9920379519462585,0.9920423626899719
5,99,10.0,uniform,0.5221674876847291,0.6081007695843735,0.46946946946946944,0.3996815250543039,0.5239412844960689,1.029005914926529,0.6904014199972153,0.6924799084663391,0.6909842044115067,1.0,0.9900761842727661,0.9900655150413513,0.9900708198547363
1,42,5.0,uniform,0.5745745745745745,0.5238319260909909,0.33333333333333337,0.4859775897534462,0.5096516627612239,1.0435569882392883,0.6997496038675308,0.695088341832161,0.6936389058828354,1.0,0.9980028867721558,0.9980036020278931,0.9980021119117737
2,42,5.0,uniform,0.5775775775775776,0.5511243397275368,0.43005952380952384,0.5314624555757106,0.5028374969302142,1.0371314585208893,0.6947704553604126,0.6920434683561325,0.6924802362918854,1.5,0.9960106015205383,0.9960085153579712,0.9960089325904846
3,42,5.0,uniform,0.5755755755755756,0.5444378160562178,0.4434523809523809,0.547724409171419,0.5068035882527288,1.0351640284061432,0.6937156915664673,0.6931432336568832,0.6921244710683823,1.1,0.9940240383148193,0.9940184354782104,0.9940219521522522
4,42,5.0,uniform,0.5165165165165165,0.4652936558353968,0.41170634920634924,0.5457423008804889,0.5143308986789951,1.0331634283065796,0.693876713514328,0.6929121762514114,0.6917813420295715,1.2,0.9920446276664734,0.9920356273651123,0.9920423030853271
5,42,5.0,uniform,0.4694694694694695,0.4350548205352774,0.4037698412698413,0.5279294641249741,0.5084327057184092,1.0311509370803833,0.6940816193819046,0.6924914717674255,0.6915234625339508,1.1,0.9900733828544617,0.9900615215301514,0.9900708794593811
1,123,5.0,uniform,0.5245098039215687,0.5665864028947211,0.4588744588744588,0.32062109085090973,0.4961066809001522,1.0430138409137726,0.6955668777227402,0.6972492635250092,0.6945789307355881,1.0,0.9980024695396423,0.998001217842102,0.998002290725708
2,123,5.0,uniform,0.615686274509804,0.6389284941143584,0.5238095238095237,0.35826855626070075,0.4904363167849992,1.0375545918941498,0.69381944835186,0.6930548697710037,0.6932624131441116,1.1,0.9960083961486816,0.996006965637207,0.9960092306137085
3,123,5.0,uniform,0.6529411764705882,0.6299191079760682,0.5638528138528139,0.40589196033374286,0.47902595133887443,1.0356368124485016,0.6931605637073517,0.6940078288316727,0.6927498579025269,1.0,0.9940202832221985,0.9940186738967896,0.9940220713615417
4,123,5.0,uniform,0.646078431372549,0.6395142459734164,0.5790043290043291,0.38371231017513263,0.4842505120012078,1.0334104597568512,0.6931025236845016,0.693587064743042,0.6923638731241226,1.0,0.9920393824577332,0.9920380115509033,0.9920420050621033
5,123,5.0,uniform,0.6568627450980392,0.6595702288998881,0.6017316017316017,0.3957153910186358,0.4826676161616122,1.0312877893447876,0.693106546998024,0.6931007206439972,0.692153587937355,1.0,0.9900669455528259,0.9900660514831543,0.9900702238082886
1,7,5.0,uniform,0.5610948191593353,0.6054160198480337,0.35392156862745106,0.4644234208624126,0.501170152279894,1.046589434146881,0.697513073682785,0.7029474526643753,0.6940765082836151,1.1,0.9980043768882751,0.9980039000511169,0.9980021119117737
2,7,5.0,uniform,0.5728250244379276,0.5407415075883293,0.38431372549019605,0.41440559265231924,0.5047939730860098,1.0318356454372406,0.689932644367218,0.6852739453315735,0.6935615986585617,1.0,0.9960035681724548,0.9960079789161682,0.9960094690322876
3,7,5.0,uniform,0.5953079178885631,0.5709290800989391,0.39019607843137255,0.4053740642980934,0.495381416446689,1.0292391180992126,0.6898034662008286,0.684037983417511,0.6934222429990768,1.1,0.9940047860145569,0.9940171241760254,0.9940232634544373
4,7,5.0,uniform,0.5972629521016617,0.5689401737465503,0.45882352941176474,0.43669224766225945,0.5021389929999567,1.0278368294239044,0.6897923946380615,0.6851246207952499,0.6931718587875366,1.0,0.9920136332511902,0.9920337796211243,0.9920445084571838
5,7,5.0,uniform,0.5943304007820137,0.5876793225816896,0.4813725490196078,0.4508250671631582,0.5067932978635948,1.025956004858017,0.6898255497217178,0.6852066218852997,0.692890077829361,0.9,0.9900314807891846,0.990059494972229,0.990074098110199
1,17,5.0,uniform,0.37931034482758624,0.4748770763129532,0.61669921875,0.6422961550013877,0.4840197018960707,1.0420796871185303,0.6946976184844971,0.696129098534584,0.6946998983621597,1.0,0.9980028867721558,0.9980021119117737,0.9980021715164185
2,17,5.0,uniform,0.3921182266009852,0.49113681113988206,0.619140625,0.5880607308990905,0.5006680662737213,1.0366778373718262,0.6918999701738358,0.6930945962667465,0.6933930367231369,1.0,0.9960094690322876,0.9960082173347473,0.9960092306137085
