split_config,dim_A,dim_B,dim_C,seed,round,train_loss,ihm_loss,los_loss,pheno_loss,elapsed_s,val_ihm_auroc,val_ihm_auprc,val_los_kappa,val_pheno_macro_auroc
balanced,5,4,3,42,8,2.53214544784732,0.39618053535620373,1.6813436019711379,0.45462130676440105,76.9,0.39682539682539686,0.02564102564102564,0.036256988989126326,0.6166640490852542
balanced,5,4,3,42,9,2.479897285864605,0.395764314789113,1.6298842934088977,0.4542486955964468,75.8,0.6190476190476191,0.04,0.016646765470253566,0.709500899436846
balanced,5,4,3,42,10,2.4652484994593675,0.3941394720620256,1.6173317422711753,0.4537772914258445,75.6,0.6349206349206349,0.041666666666666664,0.02696308666457925,0.6646596937879309
balanced,5,4,3,123,1,2.946627696355184,0.4122016283312464,2.0513941398481044,0.48303191812057805,75.7,0.38095238095238093,0.025,0.010647705967667731,0.5966634974428963
balanced,5,4,3,123,2,2.8200540154930054,0.40055518070372137,1.9611327580320157,0.45836609214302,75.7,0.6190476190476191,0.04,0.008447504791651905,0.5705445355725821
balanced,5,4,3,123,3,2.7079857558738896,0.39951546708258184,1.8501032978538576,0.45836696949431566,75.8,0.5396825396825398,0.03333333333333333,0.03845230336500527,0.5950674389527815
balanced,5,4,3,123,4,2.547393911253146,0.3973576168461544,1.693919094597421,0.4561171950848122,76.0,0.5873015873015873,0.037037037037037035,0.02696308666457925,0.5564750691485237
balanced,5,4,3,123,5,2.5162045257847483,0.4014094321708369,1.6574422983619255,0.4573527971903483,76.1,0.19047619047619047,0.019230769230769232,0.02696308666457925,0.5247215911652238
balanced,5,4,3,123,6,2.4894431063799356,0.3951939816881971,1.6372925101256952,0.45695662038113044,75.7,0.4920634920634921,0.030303030303030304,0.02696308666457925,0.5964602454639079
balanced,5,4,3,123,7,2.4526211905285593,0.3952540150745128,1.6040478692791327,0.4533192949081824,75.8,0.6349206349206349,0.041666666666666664,0.02696308666457925,0.6681889667753914
balanced,5,4,3,123,8,2.5937989824186496,0.39506950841202,1.7423750133049198,0.45635443925857544,75.8,0.2222222222222222,0.02,0.008447504791651905,0.5964432443224846
balanced,5,4,3,123,9,2.506209670043573,0.39402567104595465,1.6588940455661556,0.45328994640489906,79.5,0.5238095238095238,0.03225806451612903,0.02696308666457925,0.6479812398501213
balanced,5,4,3,123,10,2.4470936864372193,0.3964882509979775,1.597918767270034,0.4526866609003486,76.0,0.46031746031746035,0.02857142857142857,0.02696308666457925,0.630527016736982
balanced,5,4,3,7,1,2.9668300268126697,0.41417334089434243,2.0693343683956114,0.48332232769911854,75.8,0.4920634920634921,0.030303030303030304,0.010647705967667731,0.5566292092852168
balanced,5,4,3,7,2,2.7953109450456575,0.397645514064688,1.9395350353504583,0.45813038896739,75.8,0.5555555555555556,0.034482758620689655,0.008447504791651905,0.5838841240213227
balanced,5,4,3,7,3,2.5814881402302565,0.4007538618837915,1.7234979964853303,0.45723628464753063,76.1,0.4126984126984127,0.02631578947368421,0.02696308666457925,0.6267513365379682
balanced,5,4,3,7,4,2.5225078226104984,0.39707343038020093,1.669309726575526,0.4561246694103489,75.9,0.46031746031746035,0.02857142857142857,0.02696308666457925,0.6163848636779944
balanced,5,4,3,7,5,2.510836537291364,0.3983645969774665,1.6573625987138205,0.4551093437807347,75.9,0.2063492063492064,0.0196078431372549,0.02696308666457925,0.592483894394378
balanced,5,4,3,7,6,2.4790213825256844,0.3943378246896635,1.6312053707556995,0.45347818514195887,76.5,0.5714285714285714,0.03571428571428571,0.02696308666457925,0.626263478868004
balanced,5,4,3,7,7,2.468121728276819,0.39713842137073113,1.6164008427441605,0.4545824518048666,76.0,0.5873015873015873,0.037037037037037035,0.02696308666457925,0.6273166440669118
balanced,5,4,3,7,8,2.4430711598900277,0.395866515432916,1.5954296094615286,0.4517750456565764,75.9,0.2857142857142857,0.021739130434782608,0.02696308666457925,0.6118934466254276
balanced,5,4,3,7,9,2.451199895967313,0.39360609614267583,1.6048129641912816,0.45278083575450306,75.8,0.06349206349206349,0.016666666666666666,0.02696308666457925,0.5775555444081103
balanced,5,4,3,7,10,2.4941183648458343,0.39878493329373804,1.642609737752899,0.45272369258772066,75.7,0.04761904761904767,0.01639344262295082,0.02696308666457925,0.5710532899581074
skewed,3,4,3,42,1,2.956752416564197,0.4119171406922302,2.05877813866468,0.4860571421743409,75.9,0.06349206349206349,0.016666666666666666,0.008447504791651905,0.525477718723276
